id,company_name,city,state,project_focus,company_scale,procurement_contact,phone,email,estimated_annual_paint_liters,verified_status
132,"Thrissur C Living Spaces LLP","Thrissur","Kerala","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700000683,purchase@thrissurclivingbuild.in,124000,"Verified RERA Active"
133,"Bardhaman D Projects India","Bardhaman","West Bengal","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000688,purchase@bardhamandprojebuild.in,124750,"Verified RERA Active"
134,"Bihar E Buildtech India Pvt Ltd","Bihar Sharif","Bihar","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000693,purchase@biharebuildtechbuild.in,125500,"Verified RERA Active"
135,"Rourkela F Civil Engineering Developers","Rourkela","Odisha","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700000698,purchase@rourkelafcivilebuild.in,126250,"Verified RERA Active"
136,"Deoghar G Living Spaces LLP","Deoghar","Jharkhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700000703,purchase@deogharglivingsbuild.in,127000,"Verified RERA Active"
137,"Dibrugarh H Projects India","Dibrugarh","Assam & NE","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700000708,purchase@dibrugarhhprojebuild.in,127750,"Verified RERA Active"
138,"South I Buildtech India Pvt Ltd","South Delhi","Delhi NCR","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700000713,purchase@southibuildtechbuild.in,128500,"Verified RERA Active"
139,"Aligarh J Civil Engineering Developers","Aligarh","Uttar Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000718,purchase@aligarhjcivilenbuild.in,129250,"Verified RERA Active"
140,"Sikar K Living Spaces LLP","Sikar","Rajasthan","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700000723,purchase@sikarklivingspabuild.in,130000,"Verified RERA Active"
141,"Sonipat L Living Spaces LLP","Sonipat","Haryana","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700000728,purchase@sonipatllivingsbuild.in,130750,"Verified RERA Active"
142,"Pathankot M Projects India","Pathankot","Punjab","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700000733,purchase@pathankotmprojebuild.in,131500,"Verified RERA Active"
143,"Rishikesh N Buildtech India Pvt Ltd","Rishikesh","Uttarakhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000738,purchase@rishikeshnbuildbuild.in,132250,"Verified RERA Active"
144,"Shimla O Civil Engineering Developers","Shimla","Himachal Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700000743,purchase@shimlaocivilengbuild.in,133000,"Verified RERA Active"
145,"Jammu P Living Spaces LLP","Jammu","Jammu & Kashmir","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700000748,purchase@jammuplivingspabuild.in,133750,"Verified RERA Active"
146,"Solapur Q Projects India","Solapur","Maharashtra","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700000753,purchase@solapurqprojectbuild.in,134500,"Verified RERA Active"
147,"Rajkot R Buildtech India Pvt Ltd","Rajkot","Gujarat","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700000758,purchase@rajkotrbuildtecbuild.in,135250,"Verified RERA Active"
148,"Ujjain S Civil Engineering Developers","Ujjain","Madhya Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000763,purchase@ujjainscivilengbuild.in,136000,"Verified RERA Active"
149,"Rajnandgaon T Living Spaces LLP","Rajnandgaon","Chhattisgarh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000768,purchase@rajnandgaontlivbuild.in,136750,"Verified RERA Active"
150,"Panaji U Projects India","Panaji","Goa","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700000773,purchase@panajiuprojectsbuild.in,137500,"Verified RERA Active"
151,"Ballari V Projects India","Ballari","Karnataka","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700000778,purchase@ballarivprojectbuild.in,138250,"Verified RERA Active"
152,"Chennai W Buildtech India Pvt Ltd","Chennai","Tamil Nadu","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700000783,purchase@chennaiwbuildtebuild.in,139000,"Verified RERA Active"
153,"Karimnagar X Civil Engineering Developers","Karimnagar","Telangana","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700000788,purchase@karimnagarxcivibuild.in,139750,"Verified RERA Active"
154,"Guntur Y Living Spaces LLP","Guntur","Andhra Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000793,purchase@gunturylivingspbuild.in,140500,"Verified RERA Active"
155,"Kollam Z Projects India","Kollam","Kerala","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700000798,purchase@kollamzprojectsbuild.in,141250,"Verified RERA Active"
156,"Durgapur A Buildtech India Pvt Ltd","Durgapur","West Bengal","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700000803,purchase@durgapurabuildtbuild.in,142000,"Verified RERA Active"
157,"Darbhanga B Civil Engineering Developers","Darbhanga","Bihar","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700000808,purchase@darbhangabcivilbuild.in,142750,"Verified RERA Active"
158,"Sambalpur C Living Spaces LLP","Sambalpur","Odisha","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000813,purchase@sambalpurclivinbuild.in,143500,"Verified RERA Active"
159,"Bokaro D Projects India","Bokaro Steel City","Jharkhand","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700000818,purchase@bokarodprojectsbuild.in,144250,"Verified RERA Active"
160,"Imphal E Buildtech India Pvt Ltd","Imphal","Assam & NE","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700000823,purchase@imphalebuildtecbuild.in,145000,"Verified RERA Active"
161,"North F Buildtech India Pvt Ltd","North Delhi","Delhi NCR","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700000828,purchase@northfbuildtechbuild.in,145750,"Verified RERA Active"
162,"Gorakhpur G Civil Engineering Developers","Gorakhpur","Uttar Pradesh","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700000833,purchase@gorakhpurgcivilbuild.in,146500,"Verified RERA Active"
163,"Bhiwadi H Living Spaces LLP","Bhiwadi","Rajasthan","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000838,purchase@bhiwadihlivingsbuild.in,147250,"Verified RERA Active"
164,"Rohtak I Projects India","Rohtak","Haryana","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000843,purchase@rohtakiprojectsbuild.in,148000,"Verified RERA Active"
165,"Mohali J Buildtech India Pvt Ltd","Mohali","Punjab","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700000848,purchase@mohalijbuildtecbuild.in,148750,"Verified RERA Active"
166,"Rudrapur K Civil Engineering Developers","Rudrapur","Uttarakhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700000853,purchase@rudrapurkcivilebuild.in,149500,"Verified RERA Active"
167,"Kullu L Living Spaces LLP","Kullu","Himachal Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700000858,purchase@kullullivingspabuild.in,150250,"Verified RERA Active"
168,"Srinagar M Projects India","Srinagar","Jammu & Kashmir","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700000863,purchase@srinagarmprojecbuild.in,151000,"Verified RERA Active"
169,"Amravati N Buildtech India Pvt Ltd","Amravati","Maharashtra","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000868,purchase@amravatinbuildtbuild.in,151750,"Verified RERA Active"
170,"Ankleshwar O Civil Engineering Developers","Ankleshwar","Gujarat","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700000873,purchase@ankleshwarocivibuild.in,152500,"Verified RERA Active"
171,"Indore P Civil Engineering Developers","Indore","Madhya Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700000878,purchase@indorepcivilengbuild.in,153250,"Verified RERA Active"
172,"Durg Q Living Spaces LLP","Durg","Chhattisgarh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700000883,purchase@durgqlivingspacbuild.in,154000,"Verified RERA Active"
173,"Mapusa R Projects India","Mapusa","Goa","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000888,purchase@mapusarprojectsbuild.in,154750,"Verified RERA Active"
174,"Davanagere S Buildtech India Pvt Ltd","Davanagere","Karnataka","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700000893,purchase@davanageresbuilbuild.in,155500,"Verified RERA Active"
175,"Vellore T Civil Engineering Developers","Vellore","Tamil Nadu","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700000898,purchase@velloretcivilenbuild.in,156250,"Verified RERA Active"
176,"Nizamabad U Living Spaces LLP","Nizamabad","Telangana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700000903,purchase@nizamabadulivinbuild.in,157000,"Verified RERA Active"
177,"Vijayawada V Projects India","Vijayawada","Andhra Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700000908,purchase@vijayawadavprojbuild.in,157750,"Verified RERA Active"
178,"Kozhikode W Buildtech India Pvt Ltd","Kozhikode","Kerala","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000913,purchase@kozhikodewbuildbuild.in,158500,"Verified RERA Active"
179,"Siliguri X Civil Engineering Developers","Siliguri","West Bengal","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000918,purchase@siligurixcivilebuild.in,159250,"Verified RERA Active"
180,"Purnia Y Living Spaces LLP","Purnia","Bihar","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700000923,purchase@purniaylivingspbuild.in,160000,"Verified RERA Active"
181,"Balasore Z Living Spaces LLP","Balasore","Odisha","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700000928,purchase@balasorezlivingbuild.in,160750,"Verified RERA Active"
182,"Dhanbad A Projects India","Dhanbad","Jharkhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700000933,purchase@dhanbadaprojectbuild.in,161500,"Verified RERA Active"
183,"Jorhat B Buildtech India Pvt Ltd","Jorhat","Assam & NE","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700000938,purchase@jorhatbbuildtecbuild.in,162250,"Verified RERA Active"
184,"New C Civil Engineering Developers","New Delhi","Delhi NCR","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000943,purchase@newccivilenginebuild.in,163000,"Verified RERA Active"
185,"Moradabad D Living Spaces LLP","Moradabad","Uttar Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700000948,purchase@moradabaddlivinbuild.in,163750,"Verified RERA Active"
186,"Sri E Projects India","Sri Ganganagar","Rajasthan","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700000953,purchase@srieprojectsindbuild.in,164500,"Verified RERA Active"
187,"Hisar F Buildtech India Pvt Ltd","Hisar","Haryana","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700000958,purchase@hisarfbuildtechbuild.in,165250,"Verified RERA Active"
188,"Bathinda G Civil Engineering Developers","Bathinda","Punjab","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000963,purchase@bathindagcivilebuild.in,166000,"Verified RERA Active"
189,"Haldwani H Living Spaces LLP","Haldwani","Uttarakhand","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700000968,purchase@haldwanihlivingbuild.in,166750,"Verified RERA Active"
190,"Baddi I Projects India","Baddi Industrial Zone","Himachal Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700000973,purchase@baddiiprojectsibuild.in,167500,"Verified RERA Active"
191,"Udhampur J Projects India","Udhampur","Jammu & Kashmir","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700000978,purchase@udhampurjprojecbuild.in,168250,"Verified RERA Active"
192,"Nagpur K Buildtech India Pvt Ltd","Nagpur","Maharashtra","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700000983,purchase@nagpurkbuildtecbuild.in,169000,"Verified RERA Active"
193,"Bhavnagar L Civil Engineering Developers","Bhavnagar","Gujarat","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000988,purchase@bhavnagarlcivilbuild.in,169750,"Verified RERA Active"
194,"Sagar M Living Spaces LLP","Sagar","Madhya Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000993,purchase@sagarmlivingspabuild.in,170500,"Verified RERA Active"
195,"Korba N Projects India","Korba","Chhattisgarh","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700000998,purchase@korbanprojectsibuild.in,171250,"Verified RERA Active"
196,"Margao O Buildtech India Pvt Ltd","Margao","Goa","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700001003,purchase@margaoobuildtecbuild.in,172000,"Verified RERA Active"
197,"Kalaburagi P Civil Engineering Developers","Kalaburagi","Karnataka","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700001008,purchase@kalaburagipcivibuild.in,172750,"Verified RERA Active"
