id,company_name,district_hq,project_types,company_scale,purchase_contact_person,phone,email,estimated_annual_paint_requirement_liters
163,"Udaipur H Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829011141,procurement@udaipurbuild163.in,72050
164,"Kota I Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829011148,procurement@kotabuild164.in,72400
165,"Alwar J Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829011155,procurement@alwarbuild165.in,72750
166,"Ajmer K Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829011162,procurement@ajmerbuild166.in,73100
167,"Bhilwara L Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829011169,procurement@bhilwarabuild167.in,73450
168,"Jaipur M Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829011176,procurement@jaipurbuild168.in,73800
169,"Jodhpur N Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829011183,procurement@jodhpurbuild169.in,74150
170,"Udaipur O Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829011190,procurement@udaipurbuild170.in,74500
171,"Kota P Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829011197,procurement@kotabuild171.in,74850
172,"Alwar Q Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829011204,procurement@alwarbuild172.in,75200
173,"Ajmer R Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829011211,procurement@ajmerbuild173.in,75550
174,"Bhilwara S Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829011218,procurement@bhilwarabuild174.in,75900
175,"Jaipur T Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829011225,procurement@jaipurbuild175.in,76250
176,"Jodhpur U Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829011232,procurement@jodhpurbuild176.in,76600
177,"Udaipur V Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829011239,procurement@udaipurbuild177.in,76950
178,"Kota W Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829011246,procurement@kotabuild178.in,77300
179,"Alwar X Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829011253,procurement@alwarbuild179.in,77650
180,"Ajmer Y Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829011260,procurement@ajmerbuild180.in,78000
181,"Bhilwara Z Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829011267,procurement@bhilwarabuild181.in,78350
182,"Jaipur A Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829011274,procurement@jaipurbuild182.in,78700
183,"Jodhpur B Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829011281,procurement@jodhpurbuild183.in,79050
184,"Udaipur C Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829011288,procurement@udaipurbuild184.in,79400
185,"Kota D Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829011295,procurement@kotabuild185.in,79750
186,"Alwar E Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829011302,procurement@alwarbuild186.in,80100
187,"Ajmer F Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829011309,procurement@ajmerbuild187.in,80450
188,"Bhilwara G Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829011316,procurement@bhilwarabuild188.in,80800
189,"Jaipur H Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829011323,procurement@jaipurbuild189.in,81150
190,"Jodhpur I Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829011330,procurement@jodhpurbuild190.in,81500
191,"Udaipur J Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829011337,procurement@udaipurbuild191.in,81850
192,"Kota K Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829011344,procurement@kotabuild192.in,82200
193,"Alwar L Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829011351,procurement@alwarbuild193.in,82550
194,"Ajmer M Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829011358,procurement@ajmerbuild194.in,82900
195,"Bhilwara N Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829011365,procurement@bhilwarabuild195.in,83250
196,"Jaipur O Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829011372,procurement@jaipurbuild196.in,83600
197,"Jodhpur P Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829011379,procurement@jodhpurbuild197.in,83950
198,"Udaipur Q Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829011386,procurement@udaipurbuild198.in,84300
199,"Kota R Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829011393,procurement@kotabuild199.in,84650
200,"Alwar S Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829011400,procurement@alwarbuild200.in,85000
201,"Ajmer T Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829011407,procurement@ajmerbuild201.in,85350
202,"Bhilwara U Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829011414,procurement@bhilwarabuild202.in,85700
203,"Jaipur V Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829011421,procurement@jaipurbuild203.in,86050
204,"Jodhpur W Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829011428,procurement@jodhpurbuild204.in,86400
205,"Udaipur X Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829011435,procurement@udaipurbuild205.in,86750
206,"Kota Y Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829011442,procurement@kotabuild206.in,87100
207,"Alwar Z Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829011449,procurement@alwarbuild207.in,87450
208,"Ajmer A Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829011456,procurement@ajmerbuild208.in,87800
209,"Bhilwara B Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829011463,procurement@bhilwarabuild209.in,88150
210,"Jaipur C Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829011470,procurement@jaipurbuild210.in,88500
211,"Jodhpur D Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829011477,procurement@jodhpurbuild211.in,88850
212,"Udaipur E Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829011484,procurement@udaipurbuild212.in,89200
213,"Kota F Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829011491,procurement@kotabuild213.in,89550
214,"Alwar G Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829011498,procurement@alwarbuild214.in,89900
215,"Ajmer H Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829011505,procurement@ajmerbuild215.in,90250
216,"Bhilwara I Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829011512,procurement@bhilwarabuild216.in,90600
217,"Jaipur J Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829011519,procurement@jaipurbuild217.in,90950
218,"Jodhpur K Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829011526,procurement@jodhpurbuild218.in,91300
219,"Udaipur L Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829011533,procurement@udaipurbuild219.in,91650
220,"Kota M Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829011540,procurement@kotabuild220.in,92000
221,"Alwar N Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829011547,procurement@alwarbuild221.in,92350
222,"Ajmer O Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829011554,procurement@ajmerbuild222.in,92700
223,"Bhilwara P Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829011561,procurement@bhilwarabuild223.in,93050
224,"Jaipur Q Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829011568,procurement@jaipurbuild224.in,93400
225,"Jodhpur R Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829011575,procurement@jodhpurbuild225.in,93750
226,"Udaipur S Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829011582,procurement@udaipurbuild226.in,94100
227,"Kota T Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829011589,procurement@kotabuild227.in,94450
228,"Alwar U Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829011596,procurement@alwarbuild228.in,94800
229,"Ajmer V Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829011603,procurement@ajmerbuild229.in,95150
230,"Bhilwara W Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829011610,procurement@bhilwarabuild230.in,95500
231,"Jaipur X Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829011617,procurement@jaipurbuild231.in,95850
232,"Jodhpur Y Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829011624,procurement@jodhpurbuild232.in,96200
233,"Udaipur Z Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829011631,procurement@udaipurbuild233.in,96550
234,"Kota A Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829011638,procurement@kotabuild234.in,96900
235,"Alwar B Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829011645,procurement@alwarbuild235.in,97250
236,"Ajmer C Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829011652,procurement@ajmerbuild236.in,97600
237,"Bhilwara D Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829011659,procurement@bhilwarabuild237.in,97950
238,"Jaipur E Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829011666,procurement@jaipurbuild238.in,98300
239,"Jodhpur F Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829011673,procurement@jodhpurbuild239.in,98650
240,"Udaipur G Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829011680,procurement@udaipurbuild240.in,99000
241,"Kota H Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829011687,procurement@kotabuild241.in,99350
242,"Alwar I Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829011694,procurement@alwarbuild242.in,99700
243,"Ajmer J Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829011701,procurement@ajmerbuild243.in,15050
244,"Bhilwara K Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829011708,procurement@bhilwarabuild244.in,15400
245,"Jaipur L Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829011715,procurement@jaipurbuild245.in,15750
246,"Jodhpur M Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829011722,procurement@jodhpurbuild246.in,16100
247,"Udaipur N Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829011729,procurement@udaipurbuild247.in,16450
248,"Kota O Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829011736,procurement@kotabuild248.in,16800
249,"Alwar P Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829011743,procurement@alwarbuild249.in,17150
250,"Ajmer Q Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829011750,procurement@ajmerbuild250.in,17500
