id,shop_name,owner_name,phone,city,market_area,full_address,business_type,estimated_monthly_bags
142,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010142,Ajmer,"Parbatpura Industrial Area","Plot 152, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,344
143,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010143,Kota,"DCM Road","Plot 153, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,351
144,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010144,Jaipur,"Vaishali Nagar","Plot 154, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,358
145,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010145,Sikar,"Salasar Bus Stand Market","Plot 155, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Paint Retailer,365
146,"Mittal Balaji Color World",Ashok Mittal,+919414010146,Jhunjhunu,"Mandawa Road","Plot 156, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,372
147,"MIA Industrial Area Vijay Paint & Plywood Stores",Kamal Verma,+919414010147,Alwar,"MIA Industrial Area","Plot 157, Main Market, MIA Industrial Area, Alwar, Rajasthan",Building Material Stockist,379
148,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010148,Ajmer,"Parbatpura Industrial Area","Plot 158, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,386
149,"Gopal National Hardware & Paints",Gopal Sharma,+919414010149,Kota,"DCM Road","Plot 159, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,393
150,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010150,Jaipur,"Mansarovar","Plot 160, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,50
151,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010151,Sikar,"Kotwali Market","Plot 161, Main Market, Kotwali Market, Sikar, Rajasthan",Hardware & Sanitary,57
152,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010152,Jhunjhunu,"Road No 1","Plot 162, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,64
153,"Bhiwadi Alwar Bypass Hardware & Building Materials",Mukesh Gupta,+919414010153,Alwar,"Bhiwadi Alwar Bypass","Plot 163, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Exclusive Coating Dealer,71
154,"Yadav Krishna Paint House",Ramesh Yadav,+919414010154,Ajmer,"Parbatpura Industrial Area","Plot 164, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,78
155,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010155,Kota,"DCM Road","Plot 165, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,85
156,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010156,Jaipur,"Malviya Nagar","Plot 166, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,92
157,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010157,Sikar,"Piprali Road","Plot 167, Main Market, Piprali Road, Sikar, Rajasthan",Building Material Stockist,99
158,"Jain Laxmi Paint Center",Pankaj Jain,+919414010158,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 168, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,106
159,"Neemrana Industrial Zone Royal Paints & Texture Mart",Vinod Prajapat,+919414010159,Alwar,"Neemrana Industrial Zone","Plot 169, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Texture & Putty Specialist,113
160,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010160,Ajmer,"Parbatpura Industrial Area","Plot 170, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,120
161,"Ashok Balaji Color World",Ashok Mittal,+919414010161,Kota,"DCM Road","Plot 171, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,127
162,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010162,Jaipur,"Sanganer Market","Plot 172, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,134
163,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010163,Sikar,"Fatehpur Road","Plot 173, Main Market, Fatehpur Road, Sikar, Rajasthan",Exclusive Coating Dealer,141
164,"Sharma National Hardware & Paints",Gopal Sharma,+919414010164,Jhunjhunu,"Peeru Singh Circle","Plot 174, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,148
165,"Delhi Gate Paint & Hardware Store",Rajesh Sharma,+919414010165,Alwar,"Delhi Gate","Plot 175, Main Market, Delhi Gate, Alwar, Rajasthan",Paint Retailer,155
166,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010166,Ajmer,"Parbatpura Industrial Area","Plot 176, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,162
167,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010167,Kota,"DCM Road","Plot 177, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,169
168,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010168,Jaipur,"Tonk Road","Plot 178, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,176
169,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010169,Sikar,"Bajoria Road","Plot 179, Main Market, Bajoria Road, Sikar, Rajasthan",Texture & Putty Specialist,183
170,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010170,Jhunjhunu,"Gugali Market","Plot 180, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,190
171,"Hope Circus Maruti Paints & Coating Traders",Dinesh Meena,+919414010171,Alwar,"Hope Circus","Plot 181, Main Market, Hope Circus, Alwar, Rajasthan",Hardware & Sanitary,197
172,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010172,Ajmer,"Parbatpura Industrial Area","Plot 182, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,204
173,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010173,Kota,"DCM Road","Plot 183, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,211
174,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010174,Jaipur,"Vaishali Nagar","Plot 184, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,218
175,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010175,Sikar,"Station Road","Plot 185, Main Market, Station Road, Sikar, Rajasthan",Paint Retailer,225
176,"Mittal Balaji Color World",Ashok Mittal,+919414010176,Jhunjhunu,"Mandawa Road","Plot 186, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,232
177,"Company Bagh Road Vijay Paint & Plywood Stores",Kamal Verma,+919414010177,Alwar,"Company Bagh Road","Plot 187, Main Market, Company Bagh Road, Alwar, Rajasthan",Building Material Stockist,239
178,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010178,Ajmer,"Parbatpura Industrial Area","Plot 188, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,246
179,"Gopal National Hardware & Paints",Gopal Sharma,+919414010179,Kota,"DCM Road","Plot 189, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,253
180,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010180,Jaipur,"Mansarovar","Plot 190, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,260
181,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010181,Sikar,"Nawalgarh Road","Plot 191, Main Market, Nawalgarh Road, Sikar, Rajasthan",Hardware & Sanitary,267
182,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010182,Jhunjhunu,"Road No 1","Plot 192, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,274
183,"Manu Marg Hardware & Building Materials",Mukesh Gupta,+919414010183,Alwar,"Manu Marg","Plot 193, Main Market, Manu Marg, Alwar, Rajasthan",Exclusive Coating Dealer,281
184,"Yadav Krishna Paint House",Ramesh Yadav,+919414010184,Ajmer,"Parbatpura Industrial Area","Plot 194, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,288
185,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010185,Kota,"DCM Road","Plot 195, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,295
186,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010186,Jaipur,"Malviya Nagar","Plot 196, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,302
187,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010187,Sikar,"Salasar Bus Stand Market","Plot 197, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Building Material Stockist,309
188,"Jain Laxmi Paint Center",Pankaj Jain,+919414010188,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 198, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,316
189,"MIA Industrial Area Royal Paints & Texture Mart",Vinod Prajapat,+919414010189,Alwar,"MIA Industrial Area","Plot 199, Main Market, MIA Industrial Area, Alwar, Rajasthan",Texture & Putty Specialist,323
190,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010190,Ajmer,"Parbatpura Industrial Area","Plot 200, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,330
191,"Ashok Balaji Color World",Ashok Mittal,+919414010191,Kota,"DCM Road","Plot 201, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,337
192,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010192,Jaipur,"Sanganer Market","Plot 202, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,344
193,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010193,Sikar,"Kotwali Market","Plot 203, Main Market, Kotwali Market, Sikar, Rajasthan",Exclusive Coating Dealer,351
194,"Sharma National Hardware & Paints",Gopal Sharma,+919414010194,Jhunjhunu,"Peeru Singh Circle","Plot 204, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,358
195,"Bhiwadi Alwar Bypass Paint & Hardware Store",Rajesh Sharma,+919414010195,Alwar,"Bhiwadi Alwar Bypass","Plot 205, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Paint Retailer,365
196,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010196,Ajmer,"Parbatpura Industrial Area","Plot 206, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,372
197,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010197,Kota,"DCM Road","Plot 207, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,379
198,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010198,Jaipur,"Tonk Road","Plot 208, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,386
199,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010199,Sikar,"Piprali Road","Plot 209, Main Market, Piprali Road, Sikar, Rajasthan",Texture & Putty Specialist,393
200,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010200,Jhunjhunu,"Gugali Market","Plot 210, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,50
201,"Neemrana Industrial Zone Maruti Paints & Coating Traders",Dinesh Meena,+919414010201,Alwar,"Neemrana Industrial Zone","Plot 211, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Hardware & Sanitary,57
202,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010202,Ajmer,"Parbatpura Industrial Area","Plot 212, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,64
203,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010203,Kota,"DCM Road","Plot 213, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,71
204,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010204,Jaipur,"Vaishali Nagar","Plot 214, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,78
205,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010205,Sikar,"Fatehpur Road","Plot 215, Main Market, Fatehpur Road, Sikar, Rajasthan",Paint Retailer,85
206,"Mittal Balaji Color World",Ashok Mittal,+919414010206,Jhunjhunu,"Mandawa Road","Plot 216, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,92
207,"Delhi Gate Vijay Paint & Plywood Stores",Kamal Verma,+919414010207,Alwar,"Delhi Gate","Plot 217, Main Market, Delhi Gate, Alwar, Rajasthan",Building Material Stockist,99
208,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010208,Ajmer,"Parbatpura Industrial Area","Plot 218, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,106
209,"Gopal National Hardware & Paints",Gopal Sharma,+919414010209,Kota,"DCM Road","Plot 219, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,113
210,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010210,Jaipur,"Mansarovar","Plot 220, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,120
211,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010211,Sikar,"Bajoria Road","Plot 221, Main Market, Bajoria Road, Sikar, Rajasthan",Hardware & Sanitary,127
212,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010212,Jhunjhunu,"Road No 1","Plot 222, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,134
213,"Hope Circus Hardware & Building Materials",Mukesh Gupta,+919414010213,Alwar,"Hope Circus","Plot 223, Main Market, Hope Circus, Alwar, Rajasthan",Exclusive Coating Dealer,141
214,"Yadav Krishna Paint House",Ramesh Yadav,+919414010214,Ajmer,"Parbatpura Industrial Area","Plot 224, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,148
215,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010215,Kota,"DCM Road","Plot 225, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,155
216,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010216,Jaipur,"Malviya Nagar","Plot 226, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,162
217,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010217,Sikar,"Station Road","Plot 227, Main Market, Station Road, Sikar, Rajasthan",Building Material Stockist,169
218,"Jain Laxmi Paint Center",Pankaj Jain,+919414010218,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 228, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,176
219,"Company Bagh Road Royal Paints & Texture Mart",Vinod Prajapat,+919414010219,Alwar,"Company Bagh Road","Plot 229, Main Market, Company Bagh Road, Alwar, Rajasthan",Texture & Putty Specialist,183
220,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010220,Ajmer,"Parbatpura Industrial Area","Plot 230, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,190
221,"Ashok Balaji Color World",Ashok Mittal,+919414010221,Kota,"DCM Road","Plot 231, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,197
222,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010222,Jaipur,"Sanganer Market","Plot 232, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,204
223,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010223,Sikar,"Nawalgarh Road","Plot 233, Main Market, Nawalgarh Road, Sikar, Rajasthan",Exclusive Coating Dealer,211
224,"Sharma National Hardware & Paints",Gopal Sharma,+919414010224,Jhunjhunu,"Peeru Singh Circle","Plot 234, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,218
225,"Manu Marg Paint & Hardware Store",Rajesh Sharma,+919414010225,Alwar,"Manu Marg","Plot 235, Main Market, Manu Marg, Alwar, Rajasthan",Paint Retailer,225
226,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010226,Ajmer,"Parbatpura Industrial Area","Plot 236, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,232
227,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010227,Kota,"DCM Road","Plot 237, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,239
228,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010228,Jaipur,"Tonk Road","Plot 238, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,246
229,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010229,Sikar,"Salasar Bus Stand Market","Plot 239, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Texture & Putty Specialist,253
230,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010230,Jhunjhunu,"Gugali Market","Plot 240, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,260
231,"MIA Industrial Area Maruti Paints & Coating Traders",Dinesh Meena,+919414010231,Alwar,"MIA Industrial Area","Plot 241, Main Market, MIA Industrial Area, Alwar, Rajasthan",Hardware & Sanitary,267
232,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010232,Ajmer,"Parbatpura Industrial Area","Plot 242, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,274
233,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010233,Kota,"DCM Road","Plot 243, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,281
234,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010234,Jaipur,"Vaishali Nagar","Plot 244, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,288
235,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010235,Sikar,"Kotwali Market","Plot 245, Main Market, Kotwali Market, Sikar, Rajasthan",Paint Retailer,295
236,"Mittal Balaji Color World",Ashok Mittal,+919414010236,Jhunjhunu,"Mandawa Road","Plot 246, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,302
237,"Bhiwadi Alwar Bypass Vijay Paint & Plywood Stores",Kamal Verma,+919414010237,Alwar,"Bhiwadi Alwar Bypass","Plot 247, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Building Material Stockist,309
238,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010238,Ajmer,"Parbatpura Industrial Area","Plot 248, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,316
239,"Gopal National Hardware & Paints",Gopal Sharma,+919414010239,Kota,"DCM Road","Plot 249, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,323
240,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010240,Jaipur,"Mansarovar","Plot 250, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,330
241,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010241,Sikar,"Piprali Road","Plot 251, Main Market, Piprali Road, Sikar, Rajasthan",Hardware & Sanitary,337
242,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010242,Jhunjhunu,"Road No 1","Plot 252, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,344
243,"Neemrana Industrial Zone Hardware & Building Materials",Mukesh Gupta,+919414010243,Alwar,"Neemrana Industrial Zone","Plot 253, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Exclusive Coating Dealer,351
244,"Yadav Krishna Paint House",Ramesh Yadav,+919414010244,Ajmer,"Parbatpura Industrial Area","Plot 254, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,358
245,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010245,Kota,"DCM Road","Plot 255, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,365
246,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010246,Jaipur,"Malviya Nagar","Plot 256, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,372
247,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010247,Sikar,"Fatehpur Road","Plot 257, Main Market, Fatehpur Road, Sikar, Rajasthan",Building Material Stockist,379
248,"Jain Laxmi Paint Center",Pankaj Jain,+919414010248,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 258, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,386
249,"Delhi Gate Royal Paints & Texture Mart",Vinod Prajapat,+919414010249,Alwar,"Delhi Gate","Plot 259, Main Market, Delhi Gate, Alwar, Rajasthan",Texture & Putty Specialist,393
250,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010250,Ajmer,"Parbatpura Industrial Area","Plot 10, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,50
